,Day,Tips,Cash Amount,Sales
0,Friday,186.37,158.64,1241.88
1,Tuesday,102.43,0.0,591.71
2,Monday,95.67,0.0,602.76
3,Wednesday,180.62,23.93,1073.13
4,Tuesday,115.41,29.02,731.06
5,Wednesday,129.27,30.67,815.75
6,Thursday,63.82,0.0,497.56
7,Friday,156.83,99.35,1105.98
8,Thursday,115.93,0.0,690.18
9,Wednesday,64.46,57.57,454.14
10,Monday,161.48,32.34,1016.3
11,Tuesday,165.29,88.7,1104.05
12,Monday,139.98,100.44,981.71
13,Monday,116.8,94.57,850.26
14,Thursday,156.59,41.18,993.18
15,Friday,90.14,13.96,660.35
16,Monday,114.25,0.0,732.19
17,Wednesday,88.12,124.69,672.91
18,Tuesday,54.81,65.04,389.63
19,Thursday,108.65,139.56,786.66
20,Wednesday,96.63,26.45,688.17
21,Monday,141.88,0.0,568.15
22,Monday,137.05,219.43,1186.76
23,Tuesday,101.67,87.15,760.13
24,Thursday,122.63,31.7,772.8
25,Thursday,184.37,144.81,1269.42
26,Friday,152.04,17.81,1077.13
27,Friday,124.94,5.14,873.55
28,Wednesday,140.17,54.24,950.04
29,Friday,176.77,30.85,1196.23
30,Monday,172.05,247.36,1532.93
31,Thursday,135.12,136.46,946.6
32,Friday,63.18,0.0,397.56
33,Tuesday,147.4,34.89,1002.2
34,Wednesday,199.11,5.73,1204.72
35,Friday,76.8,12.12,450.28
36,Tuesday,71.72,29.51,513.47
37,Sunday,96.44,131.49,740.19
38,Wednesday,79.28,0.0,474.97
39,Friday,130.17,39.19,915.26
40,Wednesday,102.78,31.23,636.73
41,Thursday,157.01,55.82,1091.24
42,Sunday,136.75,197.23,1083.71
43,Thursday,119.17,82.08,784.9
44,Tuesday,220.02,27.46,1412.42
