,Day,Tips,Cash Amount,Sales
0,Wednesday,75.1,0.0,478.64
1,Friday,118.66,124.72,822.18
2,Thursday,186.7,160.72,1208.82
3,Friday,150.66,175.92,1223.53
4,Sunday,18.87,0.0,173.48
5,Saturday,131.35,123.82,905.88
6,Saturday,125.72,45.56,809.99
7,Sunday,42.25,17.26,418.48
8,Thursday,149.94,81.33,1005.74
9,Sunday,87.78,69.78,711.11
10,Monday,101.92,0.0,621.06
11,Saturday,182.36,297.17,1370.18
12,Friday,78.29,63.18,546.29
13,Thursday,50.22,100.82,404.73
14,Monday,18.04,0.0,89.79
15,Monday,63.54,0.0,393.34
16,Saturday,166.86,39.57,1178.08
17,Wednesday,91.75,40.4,559.14
18,Thursday,80.17,130.34,599.14
19,Thursday,46.09,12.49,298.17
20,Sunday,94.13,0.0,683.29
21,Wednesday,90.68,0.0,565.47
22,Monday,26.42,0.0,226.99
23,Wednesday,21.03,0.0,267.94
24,Friday,93.8,235.05,1078.06
25,Monday,30.0,0.0,201.51
26,Friday,93.8,235.05,1078.06
27,Friday,28.61,44.08,225.48
28,Sunday,16.29,0.0,129.65
29,Friday,56.71,98.2,508.66
30,Friday,70.01,66.29,580.89
31,Saturday,136.77,127.71,1056.13
32,Saturday,55.36,163.51,508.16
33,Saturday,78.96,0.0,624.75
34,Thursday,146.0,45.41,1044.5
35,Friday,68.43,11.75,439.9
36,Sunday,46.67,0.0,331.39
37,Saturday,87.52,51.05,591.96
38,Saturday,30.36,0.0,210.81
39,Wednesday,126.09,36.76,792.47
40,Friday,93.56,98.38,682.39
41,Saturday,121.33,117.77,774.46
42,Sunday,104.92,87.61,1050.23
43,Wednesday,85.83,0.0,511.6
44,Friday,68.63,100.75,605.99
45,Saturday,122.72,87.59,868.87
46,Saturday,64.32,31.51,444.49
47,Sunday,68.22,99.53,491.04
48,Monday,91.01,52.14,654.78
49,Thursday,74.29,123.4,565.23
50,Saturday,66.32,115.14,614.08
51,Sunday,104.85,301.2,1036.11
52,Wednesday,95.13,66.27,651.25
53,Saturday,156.02,275.41,952.51
54,Thursday,108.23,103.56,912.85
55,Saturday,183.01,61.17,1188.22
56,Sunday,148.43,210.55,1172.14
57,Wednesday,77.77,0.0,441.13
58,Saturday,92.62,0.0,598.64
59,Sunday,130.55,253.93,1388.62
60,Monday,61.55,100.44,552.73
61,Thursday,124.75,87.6,845.23
62,Saturday,111.68,0.0,861.07
63,Sunday,143.04,45.17,1190.86
64,Monday,183.84,11.92,1170.23
65,Friday,131.76,216.61,913.15
66,Saturday,151.01,22.77,986.71
67,Thursday,76.77,0.0,512.04
68,Friday,27.24,0.0,228.63
69,Monday,131.33,255.43,1006.67
70,Tuesday,60.81,11.75,406.96
71,Tuesday,75.24,61.06,594.72
